===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-04-13 04:09:20
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
---------------------------------------------------------------------------
112.27.235.94:8000        | 黑龙江卫视           |   0.98 Mbps | 100%
112.27.235.94:8000        | 山东卫视            |   6.01 Mbps |   0%
120.209.208.163:5080      | Q亳州农村           |   5.42 Mbps |   3%
120.209.208.163:5080      | Q亳州新闻           |   5.08 Mbps |  35%
111.14.186.11:5009        | 陕西卫视            |   3.94 Mbps |  11%
111.14.186.11:5009        | 四川卫视            |   9.29 Mbps |  84%
183.221.211.20:808        | 江苏卫视            |   8.72 Mbps |   0%
183.221.211.20:808        | CCTV10          |   8.41 Mbps |   0%
120.224.84.170:8085       | 2               |   9.09 Mbps |   0%
120.224.84.170:8085       | 15              |   9.29 Mbps |   0%
39.164.138.145:9003       | 优漫卡通            |   3.12 Mbps |   0%
39.164.138.145:9003       | 江西卫视            |   4.37 Mbps |  34%
223.72.123.44:85          | 广东卫视            |   0.77 Mbps | 100%
223.72.123.44:85          | 浙江卫视            |   0.41 Mbps | 100%
27.41.245.102:808         | 汕头经济生活          |   3.85 Mbps |   0%
27.41.245.102:808         | 汕头综合            |   3.98 Mbps |   0%
113.200.114.168:20000     | CCTV8           |   3.48 Mbps |   0%
113.200.114.168:20000     | CCTV3           |   3.17 Mbps |   0%
111.14.222.117:3333       | 甘肃卫视            |  10.29 Mbps |  60%
111.14.222.117:3333       | CCTV3综艺         |  10.53 Mbps |  24%
183.236.10.36:8083        | CCTV15音乐        |   3.33 Mbps | 100%
180.165.12.42:50001       | CCTV8           |   0.07 Mbps | 100%
180.165.12.42:50001       | CCTV11          |   0.06 Mbps | 100%
116.228.170.214:888       | CCTV5           |   0.55 Mbps | 100%
116.228.170.214:888       | 黑龙江卫视           |    0.5 Mbps | 100%
144.0.23.4:8085           | 20              |   9.39 Mbps |  93%
144.0.23.4:8085           | 1               |   6.64 Mbps |  68%
1.24.39.180:808           | 乌兰察布新闻综合        |   1.05 Mbps | 100%
1.24.39.180:808           | 深圳卫视            |   1.61 Mbps | 100%
119.166.230.171:8082      | 21              |   7.76 Mbps |  89%
119.166.230.171:8082      | 16              |   3.52 Mbps | 100%
183.186.68.206:9999       | CCTV3           |   7.32 Mbps |   0%
183.186.68.206:9999       | 湖北卫视            |   7.16 Mbps |   0%
119.39.198.172:808        | 浙江卫视            |   4.39 Mbps |  99%
119.39.198.172:808        | 广西卫视            |   4.09 Mbps |   0%
123.12.186.252:9901       | CCTV5           |   1.31 Mbps | 100%
123.12.186.252:9901       | CCTV15          |   0.75 Mbps | 100%
221.226.67.66:8199        | 广西卫视            |   0.41 Mbps | 100%
221.226.67.66:8199        | 东南卫视            |   0.62 Mbps | 100%
39.89.117.222:8085        | 3               |   0.21 Mbps | 100%
39.89.117.222:8085        | 21              |   0.24 Mbps | 100%
218.19.109.134:808        | CCTV9           |   9.42 Mbps | 100%
218.19.109.134:808        | CCTV4           |   8.75 Mbps |  97%
125.40.199.223:8092       | 新疆卫视            |   2.55 Mbps |   0%
125.40.199.223:8092       | 新乡公共频道          |   1.49 Mbps | 100%
144.0.23.80:8085          | 8               |   2.81 Mbps | 100%
144.0.23.80:8085          | 13              |   0.57 Mbps | 100%
171.88.121.17:85          | 江苏卫视            |   1.02 Mbps |   3%
171.88.121.17:85          | 江西卫视            |   1.52 Mbps |  31%
113.241.133.180:85        | 湖南经视            |   3.71 Mbps | 100%
60.16.0.36:5757           | 求索记录            |   7.28 Mbps |   0%
60.16.0.36:5757           | 北京纪实            |   5.18 Mbps |   8%
223.95.198.3:8000         | 江西卫视            |   3.24 Mbps | 100%
223.95.198.3:8000         | 河南卫视            |   0.36 Mbps | 100%
42.49.176.207:808         | 中央十三台           |   4.24 Mbps |   0%
42.49.176.207:808         | 中央三台            |    9.7 Mbps |  94%
106.46.169.202:9000       | 云南卫视            |   0.66 Mbps | 100%
106.46.169.202:9000       | CCTV9           |   0.65 Mbps | 100%
183.191.50.247:9003       | 江苏卫视            |   8.88 Mbps |  91%
183.191.50.247:9003       | 海南卫视            |   3.72 Mbps |   0%
27.129.145.110:4433       | 河北卫视            |   0.17 Mbps | 100%
27.129.145.110:4433       | 辽宁卫视            |   0.16 Mbps | 100%
59.45.161.118:8877        | CCTV13          |   8.39 Mbps |  93%
59.45.161.118:8877        | 河南卫视            |   3.45 Mbps |  53%
221.14.142.118:8000       | 安徽卫视            |   0.15 Mbps | 100%
221.14.142.118:8000       | 河南卫视            |   0.63 Mbps | 100%
114.252.121.120:8899      | 北京文艺            |   3.97 Mbps |  53%
114.252.121.120:8899      | BTV科教           |   3.37 Mbps |   0%
61.163.179.201:808        | CCTV8           |   9.02 Mbps |  91%
61.163.179.201:808        | CCTV5           |   9.06 Mbps |  89%
39.164.138.145:8899       | CCTV6           |   4.47 Mbps |   0%
39.164.138.145:8899       | 吉林卫视            |   3.71 Mbps |   0%
113.235.151.48:777        | CCTV6           |   0.26 Mbps | 100%
113.235.151.48:777        | CCTV7           |   0.24 Mbps | 100%
114.252.114.191:8899      | CCTV13新闻        |   9.36 Mbps |  95%
114.252.114.191:8899      | 天津卫视            |   9.73 Mbps | 100%
221.11.56.114:8888        | CCTV10          |   2.93 Mbps |   0%
221.11.56.114:8888        | CCTV13          |   3.13 Mbps |  12%
61.173.159.249:9003       | 山东卫视            |   0.38 Mbps | 100%
61.173.159.249:9003       | CCTV9           |   0.62 Mbps | 100%
125.43.241.91:9901        | 河北卫视            |   7.26 Mbps |   0%
125.43.241.91:9901        | 北京卫视            |   7.71 Mbps |  89%
221.14.142.118:9003       | 民生频道            |   0.17 Mbps | 100%
221.14.142.118:9003       | 湖北卫视            |   0.37 Mbps | 100%
182.150.31.44:808         | CCTV15          |   2.98 Mbps | 100%
182.150.31.44:808         | CCTV10          |   0.64 Mbps | 100%
61.182.89.14:808          | CCTV3           |   9.36 Mbps |  94%
61.182.89.14:808          | 北京卫视            |   8.72 Mbps |  90%
144.0.23.230:8085         | 5               |   6.62 Mbps |  18%
144.0.23.230:8085         | 14              |   9.29 Mbps |  96%
